geo,year,FE,FE_elec,elec_share,wb,GDP,POP,ypc
RS,2019,0.351168696,0.100778965,0.2869816306177815,SRB,149608805463.023,6945235.0,21541.21573467608
RS,2020,0.36491943499999996,0.10037022799999999,0.2750476361994806,SRB,148187485917.202,6899126.0,21479.16792898144
RS,2021,0.388043847,0.105118823,0.2708941884085589,SRB,159966992905.688,6834326.0,23406.403631563375
RS,2022,0.39737876799999994,0.10432986799999999,0.26254514936741663,SRB,164291663855.165,6664449.0,24651.950049458705
RS,2023,0.38948148499999996,0.10343918499999999,0.2655817772698489,SRB,170449205399.559,6623183.0,25735.240200906268
XK,2010,0.0900008777399231,0.02452612279265703,0.2725098177767837,XKX,14090111060.1128,1788743.0,7877.101998505543
XK,2011,0.09415968916442796,0.025141648288244667,0.26701074006670344,XKX,14980579340.1627,1791949.0,8359.936214793333
XK,2012,0.08838168171850408,0.024698277236524572,0.2794501842043316,XKX,15237076214.2456,1807126.0,8431.662326946544
XK,2013,0.08711583428403613,0.02472765622887321,0.28384801031980156,XKX,16050857846.4579,1818119.0,8828.276832516409
XK,2014,0.08175052661294455,0.023997535972400744,0.2935459496917898,XKX,16588369741.9438,1812788.0,9150.749972938811
XK,2015,0.08321299311792077,0.024669136878107917,0.2964577520141523,XKX,17569776062.0314,1788274.0,9824.991059553178
XK,2016,0.08652790173188016,0.02502463828791035,0.289208888543871,XKX,18548724460.525,1777568.0,10434.888825926773
XK,2017,0.08932369924990806,0.025828002037784552,0.28915060901724954,XKX,19443822031.0101,1791019.0,10856.290207423875
XK,2018,0.09089093127061994,0.025987585380809794,0.2859205535416288,XKX,20106201546.9493,1797086.0,11188.224462796605
XK,2019,0.09045086591830745,0.02595773699202619,0.2869816306177815,XKX,21062613456.7557,1788891.0,11774.117851090816
XK,2020,0.09468748526765346,0.026043569000541226,0.2750476361994806,XKX,19937811875.2436,1790151.0,11137.502856040412
XK,2021,0.10141116566665287,0.02747169541883384,0.2708941884085589,XKX,22080260569.6251,1786079.0,12362.421018121315
XK,2022,0.10542564136746008,0.027678990759975503,0.26254514936741663,XKX,23024964288.081,1768096.0,13022.462744150205
XK,2023,0.09895061504445521,0.02627948020545106,0.2655817772698489,XKX,23961533955.5107,1682668.0,14240.203032036445
